"firstname","lastname","team","trueShooting","usage","assist","rebound","defensive","blocks"
"Marita","Gaynor","Mozambique","41.36","61.6","25.45","77.62","45.97","55.68"
"Sheelagh","Couture","Yemen","55.09","39.62","45.07","91.91","1.41","69.9"
"Caryl","Philipp","Reunion","18.27","44.39","40.12","8.87","50.91","86.43"
"Thalia","Jaylene","Cyprus","86.64","74.93","68.28","11.51","33.13","22.82"
"Merci","Gaulin","American Samoa","93.52","18.5","58.93","41.44","95.67","14.61"
"Debee","Thornburg","Samoa","66.44","45.26","63.36","16.64","72.13","39.15"
"Cathyleen","Maples","Saudi Arabia","13.24","67.01","96.72","44.32","95.02","6.73"
"Eolanda","Blisse","Jamaica","89.79","10.01","15.91","74.75","47.37","34.71"
"Veda","Raychel","Kazakhstan","44.34","75.21","70.11","59.31","65.29","13.29"
"Dulce","Parette","Guadeloupe","87.85","17.36","24.66","35.56","87.75","20.58"
"Philis","Ivens","Uruguay","66.95","32.42","20.99","74.55","50.46","89.68"
"Ginnie","Helfand","Singapore","9.05","47.93","20.64","79.97","62.32","16.08"
"Candi","Dorcy","Sri Lanka","67.01","6.39","100.05","72.98","21.95","38.45"
"Dotty","Vale","Nigeria","87.37","44.32","13.49","95.37","57","38.26"
"Tonia","Mayeda","Cape Verde","64.79","6.3","30.1","1.74","85.5","3.9"
"Vere","Breed","New Caledonia","87.22","93.43","86.09","94.37","8.29","4.69"
"Valera","Wolfgram","Mexico","70.08","52.05","77.36","64.12","24.24","62.58"
"Wanda","Mathilde","Guinea","28.6","75.47","20.63","78.92","2.49","51.25"
"Netty","Anis","Moldova, Republic of","93.4","25.02","21.18","57.5","1.46","80.33"
"Sallie","Katrine","Czech Republic","54.02","74.96","31.28","95.5","18.86","12.33"
"Augustine","Fitzsimmons","Guinea-Bissau","1.36","28.12","69.33","67.72","91.44","91.09"
"Sue","Lauraine","Djibouti","37.08","53.62","50.04","59.35","56.08","38.44"
"Laurene","Magnolia","Niue","43.12","80.39","1.56","96.58","28.74","100.92"
"Misha","Forrer","Paraguay","5.25","26.73","27.65","52.8","32.91","54.68"
"Elka","McLaughlin","Burkina Faso","98","31.17","91.24","39.02","68.31","76.17"
"Mariele","Abram","Turkey","47.2","37.26","30.2","71.68","61.75","11.14"
"Andree","Keily","Korea, Republic of","47.78","61.4","55.87","63.85","9.77","57.4"
"Jacenta","Grimbly","Seychelles","99.61","46.94","9.99","75.11","78.85","90.64"
"Ashlee","Sisile","Saint Vincent and the Grenadines","40.58","45.19","5.14","30.51","15.28","11.31"
"Gusty","Podvin","Namibia","1.82","8.16","27.74","13.81","35.59","34.85"
"Rebeca","Philoo","Niger","88.54","96.5","85.78","17.37","36.45","53.94"
"Veda","Erb","Northern Mariana Islands","62.86","87.34","60.76","18.13","95.19","58.2"
"Margalo","Gilbertson","Argentina","93.27","76.32","63.01","57.3","58.9","80.75"
"Chickie","Ortrude","Netherlands Antilles","86","94.58","10.64","15.37","58.21","86.87"
"Tatiania","Dom","Netherlands Antilles","19.3","42.17","29.22","78.25","3.65","71.53"
"Janenna","Tillford","Qatar","78.65","44.41","66.28","72.04","91.13","31.46"
"Lolita","Loleta","New Zealand","49.82","79.7","4.19","99.1","47.45","17.13"
"Randa","Kimmie","Tokelau","16.81","21.16","97.17","21.7","97.61","48.55"
"Courtnay","Barbey","Liechtenstein","37.89","11.42","92.38","21.31","68","31.08"
"Brena","Kermit","Norfolk Island","1.02","77.88","88.57","54.44","33.72","66.49"
"Darci","Wandie","Maldives","100.92","15.18","42.07","55.37","77.07","97.08"
"Charissa","Jaylene","RWANDA","11.25","52.78","61.53","16.24","45.32","13.06"
"Nelle","Chrystel","San Marino","3.18","37.56","93.03","26.1","61.15","73.51"
"Evita","Madox","Bolivia","50.7","36.95","62.32","88.3","25.89","45.22"
"Paule","Read","Bouvet Island","41.26","71.17","65.43","30.95","6.11","48.4"
"Brietta","Corrine","Malawi","27.32","75.65","10.49","59.67","62.29","29.57"
"Mariann","Lanita","Comoros","54.08","46.06","55.03","93.28","16.34","24.56"
"Gertrud","Hachmin","Trinidad and Tobago","68.46","90.69","50.61","49.93","37.62","79.94"
"Micheline","Hessler","Guatemala","58.81","65.89","13.89","13.61","9.65","27.81"
"Claudina","Ade","Pitcairn","41.25","60.6","13.13","7.71","96.78","48.17"
"Reeba","Kazimir","Comoros","77.48","83.41","60.23","13.23","29.47","12.7"
"Ulrike","Nerita","Venezuela","98.25","37.91","94.36","34.15","23.03","73.53"
"Tatiania","Sisile","Pitcairn","48.69","70.97","48.66","78.13","91.87","23.65"
"Marita","Jerold","Bahamas","9.45","11.22","10.45","48.55","44.87","55.8"
"Chere","Rad","Luxembourg","31.94","14.34","98.64","85.11","72.45","63.49"
"Myriam","Michella","Honduras","66.4","45.61","5.09","67.58","52.19","42.91"
"Mellicent","Neva","Panama","94.52","52.19","93.14","53.6","26.55","25.95"
"Daryl","Payson","Lao People""S Democratic Republic","70.52","65.31","12.72","51.26","5.53","62.83"
"Lonnie","Cassius","Kenya","88.49","27.52","4.54","62.62","44.78","54.7"
"Maisey","Byrne","Croatia","100.33","50.65","91.94","63.54","59.74","86.15"
"Heida","Westphal","Lebanon","73.25","20.45","98.3","77.59","78.93","74.43"
"Violet","Simmonds","Virgin Islands, British","90.48","39.27","46.25","18.4","17.63","81.46"
"Annice","Charity","Comoros","92.19","26.05","87.79","78.35","59.93","86.98"
"Cristabel","Bethany","Romania","16.62","75.39","8.61","74.63","47.73","80.27"
"Libbie","Forrer","Turkmenistan","44.49","10.45","92.06","26.23","100.77","97.41"
"Elora","Darbie","Armenia","80.88","36.12","6.45","22.98","29.26","51.95"
"Mellicent","Jotham","Virgin Islands, U.S.","83.14","14.92","29.91","81.42","30.33","75.79"
"Veda","Hewitt","South Georgia and the South Sandwich Islands","25.49","79.94","7.79","64.58","90.38","67.68"
"Xylina","Manolo","Monaco","83.15","74.4","10.16","62.28","29.42","100.75"
"Kylynn","Ball","Austria","32.79","24.41","26.54","37.58","66.31","57.43"
"Robbi","Ioab","Falkland Islands (Malvinas)","49.67","56.26","50.13","30.27","97.34","96.78"
"Miquela","Catie","Vanuatu","51.75","41.98","58.83","94.92","64.04","48.29"
"Tina","Rurik","Australia","67.77","60.76","48.39","10.27","18.86","81.92"
"Margarette","Norrie","Mongolia","39.76","55.65","2.44","72.94","72.71","65.6"
"Hettie","Kiersten","Fiji","75.89","96.97","53.61","20.66","77.54","15.53"
"Jean","Redmond","United States Minor Outlying Islands","2.04","70.75","2.65","20.1","3.04","39.25"
"Grier","Revkah","Lesotho","44.07","73.92","38.4","34.9","2.8","24.33"
"Ardeen","Bohlin","Sao Tome and Principe","12.8","21.75","42.69","90.13","21.53","93.08"
"Kial","Burch","Bosnia and Herzegovina","45.88","66.72","83.63","65.04","6.62","73.77"
"Glynnis","Taam","Armenia","57.7","68.42","74.87","73.57","68.37","68.23"
"Mary","Juliet","Central African Republic","99.47","87.94","85.78","1.88","35.25","83.29"
"Judy","Jalbert","Iraq","8.74","48.23","3.34","32.29","11.15","74.37"
"Marline","Stevy","Cambodia","56.46","95.62","1.6","56.82","55.17","36.82"
"Ruthe","Ellerey","Saint Pierre and Miquelon","54.86","29.92","56.95","64.35","15.38","50.9"
"Zaria","Burnside","Lesotho","62.58","99.84","94.82","69.03","20.94","2.48"
"Ashlee","Greyson","Kazakhstan","45.61","52.47","73.36","12.44","76.01","52.09"
"Selia","Greyson","Virgin Islands, U.S.","69.46","73.48","68.78","3.39","47.17","79.7"
"Esmeralda","Campball","Equatorial Guinea","25.6","40.46","30.93","51.75","92.99","15.75"
"Tomasina","Regan","Bhutan","16.25","92.78","25.25","51.52","90.45","74.7"
"Aeriela","Amadas","Bangladesh","67.23","3.91","95.02","4.1","17.05","90.15"
"Drucie","Charmine","Gambia","75.12","95.86","18.42","68.07","20.17","10.08"
"Genevra","Lissi","Armenia","51.23","43.1","77.57","19.13","9.86","31.85"
"Melisent","Carbo","Greece","56.52","13.75","18.89","60.4","39.46","14.07"
"Gilda","Bandeen","Somalia","54.73","75.78","24.78","16.04","96.53","98.69"
"Charmaine","Scammon","Norway","47.49","50.3","81.31","9.67","11.32","27.5"
"Merci","Donell","United States","56.03","68.75","94.72","100.65","38.61","89.18"
"Nita","Kirbee","Tonga","58.21","83.69","15.83","97.01","15.14","85.52"
"Myrtice","Huggins","Cocos (Keeling) Islands","3.8","68.98","28.04","11.8","79.5","16.35"
"Dennie","Sabella","Angola","88.6","7.04","68.23","31.62","50.71","25.55"
"Amii","Callista","Saint Helena","72.38","2.87","75.38","19.64","98.73","62.6"
"Hayley","Blase","Saint Vincent and the Grenadines","89.77","70.47","57.39","5.03","83.46","74.74"
"Rebeca","Edvard","Saint Lucia","18.37","69.73","66.55","83.05","84.75","61.4"
"Lacie","Elvyn","Bulgaria","44.88","94.08","99.91","40.26","75.24","73.59"
"Ellette","Hylan","Mali","1.82","70.2","7.57","16.26","7.9","59.34"
"Corina","Bohlin","Tunisia","65.17","34.16","77.56","55.68","85.87","93.67"
"Marika","Darrell","Nauru","35.13","81.27","3.28","56.23","15.14","41.47"
"Ermengarde","Pandolfi","Marshall Islands","39.81","4.06","50.67","45.9","2.11","51.46"
"Joelly","Elo","Turkmenistan","81.25","60.03","75.15","52.89","55.15","60.85"
"Betta","Jenness","Jamaica","33.13","1.77","12.01","6.88","40.09","56.39"
"Doralynne","Adalbert","Northern Mariana Islands","73.22","30.82","38.43","35.39","52.88","27.11"
"Gale","Fadiman","Macedonia, The Former Yugoslav Republic of","56.76","52.75","89.13","20.22","63.56","75.66"
"Lulita","Merriott","Antigua and Barbuda","1.46","93.69","83.28","94.2","25.62","90.61"
"Rani","Eugenia","Estonia","64.56","69.73","36.73","41.07","61.78","16.17"
"Blinni","Fulmer","Dominican Republic","51.6","82.66","87.07","76.36","65.05","20.37"
"Kenna","Nester","Uzbekistan","90.93","60.83","50.98","40.73","77.2","18.09"
"Jany","Alexandr","Norway","52.43","39.68","1.45","97.94","29.11","30.19"
"Sabina","Amand","Tajikistan","12.92","90.45","73.95","40.68","78.65","16.05"
"Candi","Craggie","Uzbekistan","36.53","71.76","38.82","81.85","12.37","54.76"
"Lily","Carri","Czech Republic","68.86","33.57","75.25","55.47","74.37","86.5"
"Lorenza","Flita","Montserrat","51.9","74.4","59.92","99.67","27","84.71"
"Caritta","Margret","Cook Islands","92.4","25.2","44.82","43.62","21.03","62.37"
"Tami","Rosette","Tajikistan","15.86","22.85","15.18","6.23","65.06","48.46"
"Alie","Brady","Nepal","80.6","93.75","85.8","73.77","90.21","90.55"
"Carolina","Celestine","Panama","69.22","64.22","37.56","42.66","74.04","23.57"
"Yvonne","Tamsky","Burkina Faso","15.38","68.56","75.07","61.8","66.58","38.58"
"Caritta","Gahl","Congo","87.23","46.67","4.64","21.87","52.06","12.43"
"Elvira","Holbrook","Seychelles","51.3","63","80.29","29.18","58.96","48.52"
"Sherrie","Ailyn","Senegal","77.36","41.7","29.3","100.56","8.44","97.29"
"Kial","Hebner","Norfolk Island","48.28","11.44","36.3","66.64","96.73","17.65"
"Elora","Emmy","Algeria","73.33","33.78","50.09","100.79","28.2","80.56"
"Dorthy","Rocray","Niue","19.07","44.96","10.92","40.35","96.17","1.92"
"Florie","Leary","Mauritania","68.49","4.3","60.64","68.25","42.66","29.52"
"Ileana","Larochelle","Guadeloupe","55.58","18.73","3.04","61.6","60.87","56.93"
"Farrah","Anselmi","Belize","72.41","44.43","18.81","5.56","78.86","45.85"
"Nollie","Beebe","Congo","40.38","95.19","74.76","41.67","6.52","25.8"
"Fred","Mathilde","Bangladesh","47.82","60.51","58.68","41.84","9.46","83.58"
"Yolane","Noman","Burkina Faso","15.2","74.89","55.51","83.05","5.29","41.16"
"Cissiee","Gaulin","Israel","92.93","22.93","12.22","49.48","64.57","64.26"
"Amelia","Dielu","Micronesia, Federated States of","13.05","29.94","40.05","79.07","81.75","17.27"
"Iseabal","Tryck","Bahamas","69.09","68.15","90.07","23.15","57.01","27.25"
"Susette","Eno","Seychelles","32.08","74.5","93.99","41.5","94.49","3.91"
"Patricia","Quinn","Uzbekistan","47.71","99.37","65.49","86.58","29.29","72.85"
"Benita","Center","Lebanon","42.56","41.19","88.33","60.12","23.28","22.28"
"Sharlene","Scammon","Cocos (Keeling) Islands","28.82","4.87","40.02","32.02","28.64","54.51"
"Lorie","Lowry","Albania","34.53","18.08","36.75","68.95","29.17","31.06"
"Sibella","Belanger","Bermuda","48.58","68.28","55.14","29.75","61.95","22.42"
"Loree","Maisey","Saint Vincent and the Grenadines","36.5","24.69","7.95","26.49","1.14","1.42"
"Tami","Neva","Kiribati","59.1","85.76","23.94","76.55","84.9","8.33"
"Dede","Lucienne","Estonia","9.02","9.63","65.33","34.56","8.97","9.63"
"Candy","Colleen","Western Sahara","68.21","22.36","80.11","75.52","32.12","66.16"
"Pamella","Jalbert","Malta","12.72","79.34","84.08","27.58","77.52","44.02"
"Vonny","Karl","Serbia and Montenegro","49.3","90.82","26.64","2.05","33.45","2.66"
"Maye","Ade","Armenia","2.03","2.98","1.61","19.79","91.69","91.48"
"Melanie","Shirberg","Ecuador","65.15","80.94","94.95","39.42","47.92","82.67"
"Bill","Malvino","New Zealand","82","83.31","93.35","63.61","30.67","47.01"
"Patricia","Garlinda","Oman","41.79","93.59","29.64","11.2","1.09","21.14"
"Ermengarde","Trace","Belgium","19.85","1.74","89.03","61.47","60.88","32.63"
"Odessa","Yorick","Iran, Islamic Republic Of","41.81","10.42","6.43","12.78","98.88","62.51"
"Miquela","Damarra","Nigeria","6.32","77.83","28.79","69.18","89.47","32.83"
"Augustine","Goerke","Lao People""S Democratic Republic","61.27","6.72","1.28","38.36","54.76","36.8"
"Julieta","Whittaker","RWANDA","97.11","84.34","68.9","2.8","19.72","3.65"
"Kimberley","Harriman","Japan","6.91","79.53","15.1","19.92","5.52","60.14"
"Kassey","Richers","Uzbekistan","3.73","44.36","40.51","62.19","18.34","28.41"
"Imojean","Dreda","Switzerland","2.32","29.71","6.96","30.41","96.34","99.76"
"Elyssa","Horan","Lebanon","58.23","49.68","46.26","90.39","35.35","1.75"
"Wynne","Fennessy","Palestinian Territory, Occupied","88.74","53.18","40.51","76.23","45.21","20.29"
"Therine","Elbertina","Israel","54.29","25.39","35.94","82.17","32.7","98.73"
"Gilda","Pettiford","Bulgaria","33.46","99.2","96.93","53.78","7.74","65.32"
"Ebonee","Valoniah","Suriname","62.63","32.9","40.86","67.07","40.61","64.6"
"Thalia","Aprile","Kyrgyzstan","52.56","9.44","91.25","10.68","17.86","4.59"
"Lory","Kirbee","Anguilla","58.07","94.11","58.74","7.04","92.34","88.81"
"Tersina","Belanger","Netherlands","97.45","37.09","18.62","49.06","20.97","87.02"
"Kial","Freddi","Turks and Caicos Islands","53.04","99.35","59.69","61.47","72.78","33.11"
"Riannon","Riordan","Vanuatu","25.18","15.5","7.56","8.5","93.74","74.71"
"Sybille","Tiffa","Falkland Islands (Malvinas)","86.16","16.04","51.13","77.53","52.88","53.09"
"Candi","Ellerey","Botswana","47.75","17.73","86.32","50.06","42.67","5.94"
"Anestassia","Bendick","Cayman Islands","81.03","48.36","36.7","26.91","77.56","58.3"
"Andeee","Love","Benin","57.01","10.11","34.71","16.38","13.83","58.93"
"Shandie","Gabrielli","Cayman Islands","46.09","59.72","99.78","32.01","79.12","6.87"
"Celisse","Dearborn","Tajikistan","49.12","19.66","65.72","96.26","52.17","54.79"
"Flory","Bluh","Cuba","16.12","12.99","47.44","5.27","71.88","85.16"
"Marleah","Bandeen","Chile","30.04","6.57","2.88","6.15","61.51","98.18"
"Elbertina","Bohlin","Egypt","66.85","34.66","61.05","51.52","9.87","26.57"
"Calla","Ochs","Guinea-Bissau","39.21","25.57","22.36","42.48","9.42","35.81"
"Cherilyn","Lay","Costa Rica","8.24","24.59","83.77","91.27","24.17","34.78"
"Lenna","Destinee","Cameroon","62.7","50.61","58.15","11.02","56.63","54.15"
"Sandie","Aprile","Finland","75.01","25.53","88.9","5.44","96.19","48.91"
"Fernande","Kermit","Pitcairn","86.69","27.16","24.47","100.74","7.62","74.51"
"Estell","Maurine","Viet Nam","1.97","80.86","5.88","50.69","52.76","39.31"
"Ivett","Stilwell","Hungary","81.63","21.82","52.09","4.74","39.89","25.43"
"Alleen","Linehan","Libyan Arab Jamahiriya","76.5","54.13","13.12","20","95.62","98.36"
"Joane","Ambrosia","Kenya","53.67","57","61.04","70.15","56.95","86.54"
"Amara","Kaja","Swaziland","75.99","33.76","82.85","14.49","5.57","89.99"
"Suzette","Wittie","Hungary","86.68","74.32","38.98","50.32","89.52","74.05"
"Annora","MacIntosh","Latvia","77.31","3.25","17.08","55.37","80.07","69.97"
"Cassandra","Geffner","Lebanon","35.75","44.35","11.32","10.67","9.93","81.91"
"Riannon","Ellord","Cyprus","58.62","30.3","74.46","57.35","71.67","70.78"
"Ronna","Yam","Bouvet Island","33.01","60.82","12.28","64.49","46.02","80.99"
"Candi","Joseph","Liechtenstein","55.79","1.9","31.01","82.46","60.48","17.18"
"Claresta","Weaks","Virgin Islands, British","39.64","14.5","35.38","53.17","36.28","84.61"
"Tybie","Crudden","Brunei Darussalam","55.82","57.78","60.19","37.24","40.87","27.11"
"Carilyn","Norrie","French Southern Territories","1.48","100.93","30.61","88.3","65.14","85.84"
"Rochette","Kaja","San Marino","57.49","90.02","80.39","4.7","50.44","42.4"
"Amalie","Gherardo","Chad","36.64","35.85","99.49","44.42","97.11","61.35"
"Alisha","Zaslow","Mali","62.94","4.02","98.59","74.33","71.42","38.41"
"Zaria","Etom","Cote D""Ivoire","19.63","99.59","89.94","60.48","65.31","91.31"
"Joleen","Scammon","Malta","66.02","35.08","76.66","38.38","79.8","33.64"
"Gratia","Turne","Holy See (Vatican City State)","65.35","80.36","8.98","49.44","55.81","4.01"
"Kaja","Fennessy","Djibouti","47.64","35.89","41.86","32.71","81.17","23.69"
"Dorice","Halsey","Belize","11.18","42.01","83.92","55.81","66.33","94.7"
"Florie","Yerkovich","Nicaragua","15.11","77.51","69.37","34.15","65.79","10.88"
"Quintina","Haymes","Equatorial Guinea","41.34","79.81","75.66","65.59","77.89","82.81"
"Codie","Harday","Aruba","51.75","98.63","1.52","40.99","23.72","39.02"
"Mildrid","Philipp","Maldives","27.13","81.87","64.32","34.99","16.28","65.88"
"Tera","Tiffa","Papua New Guinea","71.15","52.83","85.14","90.44","14.21","15.7"
"Cordi","Lenny","Eritrea","79.57","54.54","34.97","8.71","94.27","96.34"
"Gratia","Rosalba","Oman","9.78","68.17","12.33","27.9","21.36","85.87"
"Viviene","Monaco","Marshall Islands","36.11","94.19","28.66","21.33","46.63","47.78"
"Tori","Annabella","Tanzania, United Republic of","16.36","6.34","39.39","51.02","67.24","59.12"
"Vita","Tiffa","Hungary","44.67","78.36","5.85","43.31","34.31","84.09"
"Arlena","Toffic","Jersey","57.16","87.98","60.72","60.92","13.99","87.55"
"Roxane","Dannye","Virgin Islands, U.S.","21.44","58.01","50.85","23.05","61.48","62.76"
"Maye","Nunci","Morocco","93.64","51.81","44.76","83.88","60.99","90.63"
"Rosene","McLaughlin","Cocos (Keeling) Islands","99.7","57.57","18.8","71.86","83.4","33.87"
"Mallory","Saunderson","Guadeloupe","10.91","27.33","91.41","87.69","62.87","46.71"
"Gerrie","Fax","Bosnia and Herzegovina","68.51","28.32","33.83","65.43","21.94","52.03"
"Rayna","Richers","Hungary","51.05","34.16","20.43","25.75","69.28","97.77"
"Jolyn","Bronk","Bolivia","24.73","20.77","20.75","8.72","57.13","72.87"
"Quintina","Azeria","Poland","87.25","28.24","41.68","36.23","20.94","45.8"
"Berta","Lilas","Liberia","2.33","92.39","19.31","82.88","89.98","20.77"
"Tybie","Dorine","Cameroon","1.73","4.37","30.6","71.47","39.54","7.55"
"Shirlee","Simmonds","Belarus","6.94","59.34","15.77","31.46","41.47","43.74"
"Madelle","Therine","Venezuela","32.54","93.86","27.66","7.63","29.53","51.38"
"Pierette","Fax","Philippines","29.77","9.4","22.01","80.97","76.79","43.94"
"Carmela","Bord","Macedonia, The Former Yugoslav Republic of","97.03","35.8","58.16","32.32","7.53","50.22"
"Kathi","Annabella","Serbia and Montenegro","5.24","26.29","5.94","25.78","38.1","94.15"
"Angelique","Konyn","Jordan","75.35","24.1","53.18","26.71","23.92","7.66"
"Meriel","Vittoria","Brazil","13.76","2.62","9.05","49.04","1.63","51.3"
"Angelique","Sikorski","New Zealand","61.67","66.69","13.28","34.54","86.8","79.52"
"Marylou","Knowling","Georgia","99.99","4.62","18.44","32.05","43.18","46.82"
"Berget","Ralfston","Nigeria","34.52","96.69","84.94","52.03","16.88","66.46"
"Maye","Bebe","Bouvet Island","3.36","18.17","53.8","7","31.44","74.69"
"Genovera","Lipson","Saint Pierre and Miquelon","42.96","45.13","14.14","75.1","83.23","2.56"
"Jobi","Shaver","Sri Lanka","80.73","73.62","64.4","25.87","78.43","81.1"
"Karly","Joachim","Austria","59.75","16.24","65.7","88.34","96.81","62.96"
"Mara","Byrne","Burkina Faso","11.83","60.42","96.24","95.03","67.71","88.4"
"Kirbee","Stuart","Azerbaijan","1.06","88.32","94.71","12.09","27.09","55.59"
"Ricky","Rosette","Jordan","31.58","13.18","7.92","73.69","72.81","85.98"
"Giustina","Cornelia","Burkina Faso","75.41","91.5","37.13","44.75","25.81","1.88"
"Imojean","Phi","Guinea-Bissau","90.63","24.9","30.23","55.1","94.84","48.65"
"Leona","Revkah","Korea, Democratic People""S Republic of","81.37","11.7","34.31","32.55","69.72","45.7"
"Lulita","Old","Germany","89.09","43.5","13.54","55.24","46.42","49.71"
"Kristina","Maribeth","Finland","43.15","31.73","59.26","23.78","70.72","85.76"
"Lory","Helfand","Indonesia","25.47","3.85","71.39","75.46","46.33","13.34"
"Angelique","Daegal","Marshall Islands","64.7","100.65","77.53","14.77","85.56","74.55"
"Farrah","Peonir","Tajikistan","87.76","95.68","85.85","36.85","54.76","25.66"
"Kristan","Artie","Hungary","79.3","76.83","75.7","3.45","51.18","17.41"
"Berget","Bates","Guinea","47.62","69.3","24.15","64.07","59.84","86.21"
"Modestia","Masao","Guatemala","76.04","51.91","24.94","60.18","33.4","12.71"
"Kittie","Bobbee","Kiribati","47.69","63.63","68.33","1.32","72.72","38.29"
"Evaleen","Etom","Turkmenistan","6.06","55.67","73.74","70.06","90.64","25.16"
"Loree","Tremayne","Canada","85","16.97","19.32","80.46","85.86","64.77"
"Keelia","Yoko","Luxembourg","47.56","87.55","19.02","16.59","80.36","56.73"
"Feliza","Lipson","Bulgaria","49.6","90.29","10.76","95.98","71.86","52.24"
"Kathy","Briney","Netherlands Antilles","39.67","79.08","17.48","17.05","33.73","55.92"
"Cindelyn","Saint","Madagascar","98.04","8.08","21.4","71.52","90.09","99.89"
"Annice","Alrich","Swaziland","49.14","34.63","30.44","94.97","87.15","25.07"
"Hettie","Ramona","Greece","63.91","37.92","63.9","66.77","54.09","91.06"
"Hayley","Merell","RWANDA","58.94","23.21","83.55","98.81","72.86","7.39"
"Giustina","Drus","Armenia","8.32","57.23","35.66","55.42","61.4","39.77"
"Sonni","Ethban","Netherlands","38.92","68.03","58.98","53.66","3.61","73.83"
"Kalina","Bennie","Ghana","16.56","100.16","10.33","93.5","11.82","68.96"
"Ruthe","Secrest","Marshall Islands","87.4","39.38","99.51","31.69","36.08","23.38"
"Averyl","Goth","Trinidad and Tobago","85.56","77.68","68.32","17.32","44.82","57.34"
"Roxane","Jary","Guyana","15.25","96.37","4.92","88.03","43.77","23.25"
"Katleen","Sadowski","Grenada","39.02","65.26","78.36","10.59","36.13","49.65"
"Winifred","Sheedy","Lebanon","67.02","71.23","48.96","36.39","6.87","88.47"
"Odessa","Danby","Cote D""Ivoire","9.76","69.93","23.19","24.21","64.54","42.76"
"Albertina","Breed","Singapore","15.64","99.67","93.26","60.35","91.21","27.29"
"Wilma","Arquit","Algeria","52.52","74.45","72.13","28.23","2.04","71.73"
"Leontine","Rolf","Palau","62.66","82.66","32.41","70.86","76.05","91.41"
"Elora","Nance","Northern Mariana Islands","31.93","49.18","57.44","59.45","32.34","27.02"
"Marjie","Milson","Faroe Islands","17.12","43.81","26.24","47.68","25.59","99.47"
"Arlena","Donoghue","Brazil","62.66","41.04","85.94","15.81","21.97","48.84"
"Philis","Pattin","Bolivia","64.16","99.09","11.08","99.42","36.87","3.42"
"Livvyy","Delacourt","Mauritius","6.25","9.89","85.66","15.71","86.15","31.53"
"Carmencita","Lowry","Ethiopia","32.86","55.74","13.56","99.3","96.63","4.8"
"Wendi","Lissi","Djibouti","36.09","49.63","89.57","44.67","79.68","4.18"
"Ira","Vins","Haiti","21.53","53.08","98.2","27.53","76.8","37.53"
"Jessamyn","Waite","AndorrA","36.11","18.58","51.82","28.49","81.35","50.73"
"Ursulina","Heisel","AndorrA","83.29","76.69","46.69","12.95","38.65","59.42"
"Jinny","Bergman","Bermuda","70.39","96.81","95.94","3.25","78.15","41.37"
"Nyssa","Kronfeld","Taiwan, Province of China","18.18","58.27","14.93","6.97","13.2","6.2"
"Alie","Orelee","Belgium","59.26","100.07","45.53","68.65","23.16","27.29"
"Harmonia","Chick","Congo, The Democratic Republic of the","2.27","8.85","69.1","91.85","78.34","82.69"
"Jolyn","Wittie","Mexico","36.82","17.24","80.64","45.29","83.4","73.05"
"Merle","Cottle","France","93.11","97.88","17.45","16.19","59.52","30.1"
"Corina","Knowling","Mexico","63.17","83.76","31.98","12.38","85.36","39.66"
"Sherrie","Ehrman","Saint Helena","29.93","45.38","66.92","17.66","20.33","19.6"
"Fanchon","Hashim","Fiji","44.98","51.03","35.36","76.55","77.76","98.25"
"Gloria","Justinn","Cayman Islands","3.27","93.45","72.48","42.19","1.99","63.14"
"Benita","Cleavland","Guadeloupe","60.07","72.05","64.35","33.26","1.07","53.12"
"Gratia","Rheingold","Cayman Islands","57.29","87.41","34.9","85.22","63.08","73.99"
"Therine","Abram","Bolivia","47.13","75.06","96.15","82.56","41.02","79.72"
"Mahalia","Louanna","Jamaica","23.18","64.76","70.08","96.72","14.16","8.25"
"Miquela","Valerio","United States Minor Outlying Islands","96.22","85.54","43.38","34.4","85","54.44"
"Lexine","Ackerley","Swaziland","74.85","67.09","52.77","17.4","5.86","80.74"
"Philis","Dimitris","Greenland","48.95","21.78","57.3","13.87","51.26","74.13"
"Joleen","Presber","Latvia","11.93","22.74","28.82","78.26","74.31","51.67"
"Clary","Karl","Kuwait","89.72","62.22","41.27","24.06","11.72","8.58"
"Minne","Salchunas","Netherlands","41.73","21.77","72.97","25.52","10.28","81.9"
"Johna","Ackerley","Japan","63.52","33.76","87.92","7.69","39.3","37.53"
"Randa","Liebermann","Gabon","69.83","77.93","18.06","1.56","12.39","91.07"
"Etta","Darrell","Tokelau","51.65","52.57","40.43","72.47","98.42","22.87"
"Dede","Longfellow","Bahamas","77.68","70.54","49.82","16.81","44.14","83.81"
"Siana","Blake","Slovakia","76.33","53.57","94.09","56.49","42.78","46.83"
"Marsiella","Lipson","Canada","7.53","79.11","83.41","25.29","58.17","67.46"
"Nadine","Juliet","Cocos (Keeling) Islands","31.23","65.81","44.69","74.87","100.94","82.72"
"Chrystel","Braun","Sierra Leone","62.55","44","53.69","58.29","70.86","50.2"
"Adriana","Olnee","Lebanon","47.3","45.92","91.27","76.07","86.7","60.26"
"Cissiee","Sheng","Lao People""S Democratic Republic","93.5","81.05","23.22","54.88","58.3","35.99"
"Isa","Reidar","Mozambique","18.53","41.78","7.98","9.05","17.32","2.53"
"Shandie","Heidt","Cook Islands","58.81","42.47","50.17","13.05","44.3","51.29"
"Debee","Parsaye","Sweden","61.96","82.32","64.45","26.63","56.81","45.49"
"Bobbi","Gaynor","Poland","68.9","6.9","64.92","96.04","62.29","2.4"
